"Question","Answer"
"¿Cómo ingreso el pago de mi seguro a débito bancario?","Con el código de adhesión de su factura puede suscribirse al débito, ingresando a la página web de su institución financiera.

A continuación detallamos características de acuerdo a cada instutución financiera y los link correspondientes: 

 * Itaú, Bandes: Luego de ingresar usuario y contraseña, deberá ingresar en Productos y servicios / Servicios / Alta de débitos automáticos / Servicios públicos.

* Santander: La adhesión al débito en cuenta o en tarjeta se deberá realizar personalmente en cualquiera de las Sucursales Santander.

* BBVA: Adherí tu débito siguiendo el instructivo | Descargar Instructivo

* Brou: La adhesión se realiza a través de eBROU
 
* CITI, HSBC: La adhesión se realiza a través de iBanca - Por consultas contactarse al 29151010

* Scotiabank: Con el código de adhesión de su factura."
"¿Cómo realizo el pago online de mi seguro?","El pago Online de tu seguro podes realizarlo por los siguientes medios: 

A través de MI BSE puedes acceder al módulo de Pagos Electrónicos. | Consultar instructivo
En los diferentes portales de instituciones financieras, con el código de adhesión de su factura, puede realizar el pago online. 

Banred
BBVA
CITI
Ebrou
Itaú
Santander
Sistarbank
VisaNet"
"¿Cómo realizo el pago de mi seguro con débito en mi tarjeta de crédito?","Para ingresar el pago de tu seguro como débito en tarjetas de crédito debes utilizar el código de adhesión de tu factura a través de los siguientes medios:

En la institución financiera emisora de tu tarjeta (telefónicamente, en forma presencial o ingresando en su página web).
Mediante el siguiente formulario presentándolo en Casa Central, Sucursales y Agencias del BSE. | Formulario débito en tarjeta

A través de tu Asesor de confianza.
CABAL

A través del 24812099 interno 810 - de lunes a viernes de 10:00 a 18:00 hs.
MasterCard, VISA, OCA"
"¿En qué locales puedo pagar mi seguro?","En todas las Sucursales y Agencias del BSE

En los siguientes locales, presentando tu factura, cédula de identidad o RUT: Abitab, RedPagos

En los siguientes locales, presentando tu factura: Correo, Urupago"
"¿Cómo puedo cobrar una devolución?","Las devoluciones de montos que se generen sobre pólizas ya abonadas, por distintos motivos (cancelación, modificación de cobertura o bien asegurado, etc), podrán ser cobradas por los Asegurados en las redes de cobranza (Abitab y Red Pagos) presentando la Cédula de Identidad.

Podrán cobrarse por este sistema las devoluciones que cumplan con las siguientes características::
Corresponder a pólizas emitidas a personas físicas (no empresas)
Monto entre $ 200 y $ 100.000 o su equivalente en dólares
El cliente no deberá registrar deudas impagas con el BSE
Puede solicitar el cobro descentralizado llamando a Teleservicios 1998."
"¿Cómo pago facturas de seguro vencidas?","El pago de las facturas vencidas de pólizas vigentes se puede realizar a través de:

Abitab (*)
RedPagos(*)
Sistarbanc (e-BROU, otros bancos y PortalVisa).
Banred
(*) Identificarán la deuda por número de documento (cédula de identidad o RUT).

Por consultas, dirigirse a su Asesor de confianza o a Teleservicios 1998."
"¿Tiene costo la factura?","Se comenzó a aplicar el cobro de envío de facturas en papel. 

El monto aplicable durante 2022 será de $51.40, U$S 1.16, € 1.027 según la moneda de emisión de la póliza.

Este costo no aplica para facturas digitales.

Si la póliza ya fue emitida, el asesor pueden adherirla al envío de factura digital a través del Escritorio Comercial.

Adicionalmente los clientes pueden hacer esta gestión en bse.com.uy (MiBSE), llamando al 1998 o por WhatsApp al 098611998, opción 9.

Por consultas contáctese con su Ejecutivo de Cuentas"
"¿A través de qué Bancos puede adherirse al sistema de débito automático?","Los bancos con los cuales puede adherirse a débito automático son los siguientes:

Banco República
Santander
Itaú
BBVA
Scotiabank
Citi
HSBC
Bandes
Puede solicitar el alta, a través del sistema de débitos automáticos de su banco de confianza."
"¿Cuáles son las tarjetas de crédito que pueden adherirse al débito automático?","Las tarjetas de crédito que pueden adherirse al débito automático son:

Visa
MasterCard
Oca
Diners Club
Cabal
Tarjeta D
  Puede suscribirse al débito automático a través de su Asesor de confianza, o completando y presentando el formulario 3211 en Casa Central, Sucursales y Agencias del BSE."
"¿Qué reducción de IVA obtengo si me adhiero al débito automático?","Solo los débitos automáticos de cuentas bancarias presentan una reducción permanente de 2 puntos de IVA.

Las tarjetas de crédito no disponen de dicho beneficio."
